dataset,seed,fold,method,pcc,rmse,mae,n_test,selected_alpha,inner_pcc
CCLE,2,8,fixed_fusion,0.7379497909573428,0.681108672263982,0.4962406887358848,1136,,
CCLE,2,8,adaptive_fusion,0.7366753062596917,0.6825391557354369,0.4974020297104545,1136,0.4,0.6958143491530501
CCLE,2,9,imputer_only,0.7152385336438185,0.6961453180041047,0.5132819608992526,1136,,
CCLE,2,9,ridge_only,0.713876595480271,0.6974197656334198,0.5163065521308351,1136,,
CCLE,2,9,fixed_fusion,0.7187251265817032,0.6919667850535621,0.5112014439652905,1136,,
CCLE,2,9,adaptive_fusion,0.7177850666489627,0.6929959318770802,0.512295582562242,1136,0.3,0.6927903532210189
CCLE,2,10,imputer_only,0.7192277765188938,0.7142925795603184,0.5178798545136782,1136,,
CCLE,2,10,ridge_only,0.7286954755061904,0.7029572139409196,0.5154121899598156,1136,,
CCLE,2,10,fixed_fusion,0.7281846720814666,0.703604345812633,0.5108548495953354,1136,,
CCLE,2,10,adaptive_fusion,0.729426295431832,0.7021293557231039,0.5112290799801819,1136,0.3,0.6952413076765571
CCLE,3,1,imputer_only,0.7304536191825768,0.661953567387421,0.4959506948189941,1136,,
CCLE,3,1,ridge_only,0.7312863382691285,0.6599943010368388,0.4977005832872851,1136,,
CCLE,3,1,fixed_fusion,0.7354770899358167,0.6550497931454926,0.492448232446971,1136,,
CCLE,3,1,adaptive_fusion,0.734918430339395,0.6556064250805522,0.4936015103690729,1136,0.3,0.6943284492411166
CCLE,3,2,imputer_only,0.7037950150586807,0.706001817969243,0.5045675562580816,1136,,
CCLE,3,2,ridge_only,0.7049853588535476,0.7049278290748638,0.5061834653059917,1136,,
CCLE,3,2,fixed_fusion,0.7087626190214653,0.7005957562831098,0.4998294867620361,1136,,
CCLE,3,2,adaptive_fusion,0.7082897917155102,0.7011610270591552,0.5013751262763755,1136,0.3,0.6973481559176168
CCLE,3,3,imputer_only,0.7414174463817792,0.7082905199454184,0.5058145628787879,1136,,
CCLE,3,3,ridge_only,0.7330486586307097,0.7178499709979168,0.5145422526951683,1136,,
CCLE,3,3,fixed_fusion,0.7421146411215551,0.7077444388090056,0.5058684005356119,1136,,
CCLE,3,3,adaptive_fusion,0.739650198899236,0.7105231793984053,0.5083531467653942,1136,0.3,0.6884893371722518
CCLE,3,4,imputer_only,0.7351812332879213,0.6872935015235255,0.4965882753521084,1136,,
CCLE,3,4,ridge_only,0.7390094513014276,0.6834337308074219,0.4937568904520881,1136,,
CCLE,3,4,fixed_fusion,0.7412391663725083,0.6805639378616956,0.4909919864101693,1136,,
CCLE,3,4,adaptive_fusion,0.741318103896407,0.6805576303462846,0.4909484731318334,1136,0.3,0.6882244323706589
CCLE,3,5,imputer_only,0.748274542321253,0.647317695132522,0.4841536021173249,1136,,
CCLE,3,5,ridge_only,0.7376940133717744,0.6586872572457957,0.4935869733453728,1136,,
CCLE,3,5,fixed_fusion,0.7483143452447423,0.6473338985252499,0.4841059053023214,1136,,
CCLE,3,5,adaptive_fusion,0.7453052114759863,0.6505347452773287,0.4869597554674149,1136,0.3,0.6879674568340898
CCLE,3,6,imputer_only,0.725141387024324,0.6880511500398764,0.5058181662259069,1136,,
CCLE,3,6,ridge_only,0.7231786938561798,0.6902636041235647,0.5054982675991481,1136,,
CCLE,3,6,fixed_fusion,0.7289831409100004,0.6833963467001327,0.5000560601077357,1136,,
