dataset,seed,fold,alpha,mean_pcc,mean_rmse,mean_mae,selected
CCLE,1,6,0.5,0.6909897352713118,0.7251829966227025,0.5309165183585722,False
CCLE,1,6,0.6000000000000001,0.6885487646729767,0.7285981258394866,0.5337151450837094,False
CCLE,1,6,0.7000000000000001,0.6851627067574232,0.7332833531727201,0.537589009096369,False
CCLE,1,6,0.8,0.6809081129985012,0.7392130105564518,0.5425833700020238,False
CCLE,1,6,0.9,0.6758669427323035,0.7463558100723422,0.5486400780816292,False
CCLE,1,6,1.0,0.6701240476050777,0.7546756340293654,0.5556992011882312,False
CCLE,1,7,0.0,0.6924810381523616,0.718430478773292,0.5281627993178478,False
CCLE,1,7,0.1,0.6953793632343829,0.715596606693297,0.5254527084738508,False
CCLE,1,7,0.2,0.6971921928704028,0.7139577247411525,0.5237940751659211,False
CCLE,1,7,0.3,0.6979363736161964,0.7135213635519491,0.5230959013414301,True
CCLE,1,7,0.4,0.6976427030021741,0.7142888941300878,0.5233386933605539,False
CCLE,1,7,0.5,0.6963544624879917,0.7162555151815455,0.5245737796788238,False
CCLE,1,7,0.6000000000000001,0.6941255952378228,0.7194104000378754,0.526717255357982,False
CCLE,1,7,0.7000000000000001,0.6910186568478558,0.7237369929074013,0.5297304835934373,False
CCLE,1,7,0.8,0.6871026678013882,0.7292134357910223,0.533863479626355,False
CCLE,1,7,0.9,0.6824509855973804,0.7358131010748294,0.5389388701896352,False
CCLE,1,7,1.0,0.6771392953452435,0.743505201019064,0.5449239361750775,False
CCLE,1,8,0.0,0.6840782793406757,0.7230686050360194,0.530053814428665,False
CCLE,1,8,0.1,0.6871590098646482,0.720038133243462,0.5272818918236188,False
CCLE,1,8,0.2,0.6892408614246419,0.7180849261632216,0.5255432601212677,False
CCLE,1,8,0.3,0.6903293348229409,0.7172178408118974,0.5248415798139979,False
CCLE,1,8,0.4,0.6904424221046274,0.7174407997772632,0.5251194104810795,True
CCLE,1,8,0.5,0.6896097591330466,0.7187527019743386,0.5263060581312947,False
CCLE,1,8,0.6000000000000001,0.6878714196637964,0.7211474497428627,0.5283385255440497,False
CCLE,1,8,0.7000000000000001,0.6852764333386021,0.7246140907420425,0.5310724658487912,False
CCLE,1,8,0.8,0.681881121000358,0.7291370669711037,0.5346853006197967,False
CCLE,1,8,0.9,0.6777473428110452,0.7346965578564245,0.5392580446150377,False
CCLE,1,8,1.0,0.6729407487413279,0.7412689001704627,0.5446177142890247,False
CCLE,1,9,0.0,0.696522962015395,0.7204540754065302,0.5326609243071575,False
CCLE,1,9,0.1,0.6996725969242865,0.7172463355844515,0.530304272152853,False
CCLE,1,9,0.2,0.7016634802678687,0.7153201524252647,0.5289602005922934,False
CCLE,1,9,0.3,0.7025142404152167,0.7146853158444731,0.5286743531019215,True
CCLE,1,9,0.4,0.7022593182547967,0.7153446212731972,0.5294178668774447,False
CCLE,1,9,0.5,0.7009472180593852,0.7172938106576983,0.5313498564895436,False
CCLE,1,9,0.6000000000000001,0.6986383368804931,0.720521705776372,0.5343172458046206,False
CCLE,1,9,0.7000000000000001,0.6954025342028384,0.7250105244004006,0.5383363916958144,False
CCLE,1,9,0.8,0.6913166030557119,0.7307363588022933,0.5433037454191474,False
CCLE,1,9,0.9,0.6864617881086399,0.7376697874343334,0.5491717772558141,False
CCLE,1,9,1.0,0.6809214699587697,0.7457765850073806,0.555899542281974,False
CCLE,1,10,0.0,0.6951223276853247,0.7230303706577086,0.5298658727090662,False
CCLE,1,10,0.1,0.6983090372048701,0.7198255352241734,0.5270137457366422,False
CCLE,1,10,0.2,0.7002676423263148,0.7179747035448855,0.5253743060429675,False
CCLE,1,10,0.3,0.7010142150615165,0.7174878839944652,0.5248752840052759,True
CCLE,1,10,0.4,0.700582976747284,0.7183672220039228,0.5256294679846052,False
CCLE,1,10,0.5,0.699024422162727,0.7206069549720273,0.5274310905374928,False
CCLE,1,10,0.6000000000000001,0.6964029012906185,0.7241935984774506,0.5302774795617988,False
CCLE,1,10,0.7000000000000001,0.6927938540181058,0.7291063499679916,0.5343474757458141,False
CCLE,1,10,0.8,0.6882808958826458,0.7353176820336683,0.5395825630295235,False
CCLE,1,10,0.9,0.6829529356923748,0.7427940867132998,0.5458811373453435,False
CCLE,1,10,1.0,0.6769014742968336,0.7514969259959414,0.5532010618995168,False
CCLE,2,1,0.0,0.6907646565216409,0.7301524666948586,0.5316780528478329,False
CCLE,2,1,0.1,0.6930110907644595,0.7278617190492942,0.5293002265121667,False
CCLE,2,1,0.2,0.6942434341651536,0.7267341403111164,0.5279981313247829,False
CCLE,2,1,0.3,0.6944761240654704,0.7267749640421701,0.5277728685620674,True
CCLE,2,1,0.4,0.6937359128724737,0.7279838373084736,0.5287041462917575,False
CCLE,2,1,0.5,0.6920607189800734,0.73035483260936,0.5306394275209607,False
CCLE,2,1,0.6000000000000001,0.6894981646937743,0.7338765909407211,0.5335710399823178,False
CCLE,2,1,0.7000000000000001,0.6861038973933778,0.7385325880899241,0.537423999435189,False
CCLE,2,1,0.8,0.6819397943384862,0.7443015099605456,0.5420723168422146,False
