dataset,seed,quartile,method,pcc,rmse,mae,mean_disagreement,n_test
ERKAUC30,4,3,ridge_only,0.6760249931256529,0.7033519995861739,0.4953276698336331,0.18738771331101975,3635
ERKAUC30,4,3,fixed_fusion,0.680813702607562,0.6986456520949347,0.4925148377594368,0.18738771331101975,3635
ERKAUC30,4,4,imputer_only,0.6057956317597238,1.0070442919016591,0.6939921579616349,0.4615001612742435,3634
ERKAUC30,4,4,ridge_only,0.6265150975576075,0.9451809194080413,0.6365258533719625,0.4615001612742435,3634
ERKAUC30,4,4,fixed_fusion,0.6375415260399783,0.940105169541265,0.632892569292005,0.4615001612742435,3634
ERKAUC30,5,1,imputer_only,0.6791143929072742,0.6589464354136753,0.44930353513598553,0.029756777116355,3635
ERKAUC30,5,1,ridge_only,0.6787109730992779,0.6593081134706955,0.4498164364964954,0.029756777116355,3635
ERKAUC30,5,1,fixed_fusion,0.6791422740478241,0.6589005500443155,0.4493067114226433,0.029756777116355,3635
ERKAUC30,5,2,imputer_only,0.675746978943046,0.6609299337639319,0.4627216518178083,0.09667566665208627,3634
ERKAUC30,5,2,ridge_only,0.675347408446838,0.6611039040466682,0.4618541841192994,0.09667566665208627,3634
ERKAUC30,5,2,fixed_fusion,0.6774324579043496,0.6591605850550826,0.46020398719490485,0.09667566665208627,3634
ERKAUC30,5,3,imputer_only,0.6817277351479151,0.6774262456471913,0.48793180516157236,0.1910806941003007,3635
ERKAUC30,5,3,ridge_only,0.6848912750696721,0.672240797755958,0.48045669337738184,0.1910806941003007,3635
ERKAUC30,5,3,fixed_fusion,0.6898152752734668,0.667801891210569,0.4769637505948248,0.1910806941003007,3635
ERKAUC30,5,4,imputer_only,0.59992394218052,1.0251496168166312,0.702267024146751,0.46765535351311316,3634
ERKAUC30,5,4,ridge_only,0.6328689618646876,0.952417687333658,0.6338777261886817,0.46765535351311316,3634
ERKAUC30,5,4,fixed_fusion,0.6371173681043663,0.9537260135269031,0.6347327714607627,0.46765535351311316,3634
ERKAUC30,6,1,imputer_only,0.6753353096066719,0.6748051174521069,0.45217957564580297,0.02939232404457797,3635
