dataset,mask_ratio,seed,method,pcc,rmse,mae,n_train,n_test
ERKIC50,0.15,1,original_mclrp,0.6201783588614262,0.952263755816922,0.7458209749666681,13127,2316
ERKIC50,0.15,1,mfmr_base,0.6408530724177565,0.7679951914309471,0.5850724042251706,13127,2316
ERKIC50,0.15,2,original_mclrp,0.5966219145844144,0.9864385028293312,0.7568996576290402,13127,2316
ERKIC50,0.15,2,mfmr_base,0.6457354385084462,0.785373154418203,0.589187415543638,13127,2316
ERKIC50,0.15,3,original_mclrp,0.6037199145143318,0.9514341705304216,0.7468992290733555,13127,2316
ERKIC50,0.15,3,mfmr_base,0.6453047216596788,0.7608084699898489,0.5833816528102159,13127,2316
ERKIC50,0.15,4,original_mclrp,0.5867653061077999,0.9430295318080884,0.7391655986955649,13127,2316
ERKIC50,0.15,4,mfmr_base,0.6397110155118041,0.7604060278648601,0.5720531472775473,13127,2316
ERKIC50,0.15,5,original_mclrp,0.6125857371943122,0.9377789179145176,0.7402173641288714,13127,2316
ERKIC50,0.15,5,mfmr_base,0.6518858779082237,0.7495884489480531,0.5709367557911328,13127,2316
ERKIC50,0.15,6,original_mclrp,0.5952900151574262,0.966478611526458,0.7443914617984603,13127,2316
ERKIC50,0.15,6,mfmr_base,0.6396729088363026,0.7785311469742148,0.5889166783468455,13127,2316
ERKIC50,0.15,7,original_mclrp,0.6020629171657147,0.9584412304975451,0.7482000047854126,13127,2316
ERKIC50,0.15,7,mfmr_base,0.6416463569734511,0.7685572027422121,0.5730011093050262,13127,2316
ERKIC50,0.15,8,original_mclrp,0.5987634519347302,0.9489842383244982,0.7477475486256503,13127,2316
ERKIC50,0.15,8,mfmr_base,0.6336492709795536,0.7700070682635188,0.5860136058839753,13127,2316
ERKIC50,0.15,9,original_mclrp,0.5769729895509484,0.9584926937225896,0.7328978420362464,13127,2316
ERKIC50,0.15,9,mfmr_base,0.6120141470525228,0.7970327506020446,0.5889048440289546,13127,2316
ERKIC50,0.2,0,original_mclrp,0.5685837154771795,0.9577371012984708,0.7452776391081745,12354,3089
ERKIC50,0.2,0,mfmr_base,0.6028820495893811,0.8046243682665997,0.6071036998846299,12354,3089
ERKIC50,0.2,1,original_mclrp,0.5922259557037064,0.9539087778389342,0.7491655223532552,12354,3089
ERKIC50,0.2,1,mfmr_base,0.623188859905058,0.7838238942147105,0.597138028779793,12354,3089
ERKIC50,0.2,2,original_mclrp,0.5998858908975974,0.9681829361794452,0.7521487525308245,12354,3089
ERKIC50,0.2,2,mfmr_base,0.6345083133502063,0.7809493921816671,0.593452331519038,12354,3089
ERKIC50,0.2,3,original_mclrp,0.5925505729764587,0.957642843416264,0.7452840263874961,12354,3089
ERKIC50,0.2,3,mfmr_base,0.6403212432478121,0.7686961813494413,0.5886290679581679,12354,3089
ERKIC50,0.2,4,original_mclrp,0.5758054185896828,0.9509685869441408,0.7481710249356313,12354,3089
ERKIC50,0.2,4,mfmr_base,0.6277002207183296,0.7750356247978695,0.5869133283298256,12354,3089
ERKIC50,0.2,5,original_mclrp,0.5991839829061059,0.9537184210070772,0.7523774479018026,12354,3089
ERKIC50,0.2,5,mfmr_base,0.6481105736091018,0.761868754240893,0.582126781284039,12354,3089
ERKIC50,0.2,6,original_mclrp,0.5730162297463507,0.9819983602098163,0.7534884953830802,12354,3089
ERKIC50,0.2,6,mfmr_base,0.6232143987358856,0.8016671402885588,0.6007692122309749,12354,3089
ERKIC50,0.2,7,original_mclrp,0.586383296092559,0.9679673440919544,0.7532322537776664,12354,3089
ERKIC50,0.2,7,mfmr_base,0.6225016322063591,0.7915593706087829,0.5961413385854214,12354,3089
ERKIC50,0.2,8,original_mclrp,0.5902998949941045,0.9551855056959072,0.752875790095586,12354,3089
ERKIC50,0.2,8,mfmr_base,0.6311143003715,0.7766764317090878,0.5939845466993007,12354,3089
ERKIC50,0.2,9,original_mclrp,0.5725580963490676,0.971938436820376,0.7452405362577808,12354,3089
ERKIC50,0.2,9,mfmr_base,0.5971620885506999,0.819333050314532,0.6094274227829826,12354,3089
ERKIC50,0.25,0,original_mclrp,0.5508528606610557,0.965954901621809,0.7484969940710342,11582,3861
ERKIC50,0.25,0,mfmr_base,0.5850176212483329,0.8231939806585633,0.6171181888198991,11582,3861
ERKIC50,0.25,1,original_mclrp,0.5586506731582008,0.957021592102348,0.7506713491952857,11582,3861
