dataset,mask_ratio,method,metric,mean,sd,ci_low,ci_high,n
ERKIC50,0.3,mfmr_base,rmse,0.8177022314457363,0.012965431923096873,0.8084273201804273,0.8269771427110453,10
ERKIC50,0.3,mfmr_base,mae,0.6186800872322155,0.006743137417323959,0.6138563373127044,0.6235038371517265,10
ERKIC50,0.3,original_mclrp,pcc,0.543549452526668,0.009524456589794554,0.5367360667293722,0.5503628383239637,10
ERKIC50,0.3,original_mclrp,rmse,0.96755133735641,0.011161248649179712,0.9595670610557663,0.9755356136570537,10
ERKIC50,0.3,original_mclrp,mae,0.7533204247056065,0.00469764678674791,0.7499599306348124,0.7566809187764005,10
PI3KAUC,0.1,mfmr_base,pcc,0.6083941503177015,0.022961543808645398,0.5919684513820332,0.6248198492533698,10
PI3KAUC,0.1,mfmr_base,rmse,0.7815369526616852,0.026162078432808274,0.7628217291797672,0.8002521761436032,10
PI3KAUC,0.1,mfmr_base,mae,0.5578962508882873,0.012538892698931802,0.5489264674026597,0.5668660343739149,10
PI3KAUC,0.1,original_mclrp,pcc,0.5751914675855421,0.02048288817030986,0.5605388920783241,0.5898440430927601,10
PI3KAUC,0.1,original_mclrp,rmse,0.9387882654297736,0.026647142709178506,0.9197260478679059,0.9578504829916412,10
PI3KAUC,0.1,original_mclrp,mae,0.6873957654311083,0.01564628371499343,0.6762030883225348,0.6985884425396817,10
PI3KAUC,0.15,mfmr_base,pcc,0.595559710183748,0.0183386846557906,0.5824410054684858,0.6086784148990102,10
PI3KAUC,0.15,mfmr_base,rmse,0.8057925277483854,0.025544160628858743,0.7875193360348558,0.824065719461915,10
PI3KAUC,0.15,mfmr_base,mae,0.5710659041947553,0.01273534333892157,0.5619555883871252,0.5801762200023854,10
PI3KAUC,0.15,original_mclrp,pcc,0.558689386590912,0.018583347148573594,0.5453956608718012,0.5719831123100229,10
PI3KAUC,0.15,original_mclrp,rmse,0.9585764032900874,0.029287521659314267,0.9376253724118139,0.979527434168361,10
PI3KAUC,0.15,original_mclrp,mae,0.695754307731114,0.01722323502899353,0.6834335476096632,0.7080750678525648,10
PI3KAUC,0.2,mfmr_base,pcc,0.5809175012482397,0.015161568902199886,0.570071568228433,0.5917634342680465,10
PI3KAUC,0.2,mfmr_base,rmse,0.8216684263908732,0.020993689721349212,0.8066504454665296,0.8366864073152168,10
PI3KAUC,0.2,mfmr_base,mae,0.582923718741962,0.008790093434936148,0.5766356646989976,0.5892117727849264,10
PI3KAUC,0.2,original_mclrp,pcc,0.5412792944368905,0.008973340360453089,0.5348601534402565,0.5476984354335245,10
PI3KAUC,0.2,original_mclrp,rmse,0.9640759870636788,0.027511446695409145,0.9443954836763878,0.9837564904509698,10
PI3KAUC,0.2,original_mclrp,mae,0.70002271178705,0.014093861192093776,0.6899405708512446,0.7101048527228554,10
PI3KAUC,0.25,mfmr_base,pcc,0.5681776305850492,0.017052403213075277,0.555979076182878,0.5803761849872204,10
PI3KAUC,0.25,mfmr_base,rmse,0.8338337258673951,0.01924114061626335,0.8200694430484584,0.8475980086863318,10
PI3KAUC,0.25,mfmr_base,mae,0.5933831788906276,0.008338247301685768,0.5874183560995281,0.5993480016817272,10
PI3KAUC,0.25,original_mclrp,pcc,0.5226953656155506,0.013717231284571892,0.5128826494850928,0.5325080817460085,10
PI3KAUC,0.25,original_mclrp,rmse,0.9688651324600557,0.028931039918318534,0.9481691132570622,0.9895611516630491,10
PI3KAUC,0.25,original_mclrp,mae,0.7045213128491141,0.014317481798253697,0.694279203368371,0.7147634223298572,10
PI3KAUC,0.3,mfmr_base,pcc,0.5589601546937539,0.014375264377079871,0.5486767100462017,0.5692435993413062,10
PI3KAUC,0.3,mfmr_base,rmse,0.8422347694524446,0.016138468472307398,0.8306900045787043,0.8537795343261848,10
PI3KAUC,0.3,mfmr_base,mae,0.597369209812434,0.00445793294261231,0.5941801966955034,0.6005582229293647,10
PI3KAUC,0.3,original_mclrp,pcc,0.5029564388227961,0.011943397126867376,0.4944126472071302,0.5115002304384619,10
PI3KAUC,0.3,original_mclrp,rmse,0.9760066206837111,0.023162764909051267,0.9594369768442369,0.9925762645231854,10
PI3KAUC,0.3,original_mclrp,mae,0.7079869414035052,0.012964099184362384,0.6987129835220537,0.7172608992849566,10
